Group	Raw data	Raw reads
DB19_adult_wild_challenge	2.28	15193020
DB19_adult_wild_challenge	3.73	24869210
DB19_adult_wild_challenge	2.56	17057446
DB19_adult_wild_challenge	1.37	9137006
DB19_adult_wild_challenge	1.52	10102206
DB19_adult_wild_challenge	3.11	20735606
DB19_adult_wild_challenge	3.16	21050440
DB19_adult_wild_challenge	1.75	11695906
DB19_adult_wild_challenge	2.3	15306032
DB19_adult_wild_challenge	2.97	19767440
DB19_adult_wild_challenge	1.76	11706668
DB19_adult_wild_challenge	1.49	9936890
DB19_adult_wild_challenge	1.38	9194462
DB19_adult_wild_challenge	1.21	8071444
DB19_adult_wild_challenge	1.54	10240318
DB19_adult_wild_challenge	1.56	10379850
DB19_adult_wild_challenge	1.44	9631464
DB19_adult_wild_challenge	1.51	10081010
DB19_adult_wild_challenge	3.83	25522392
DB19_adult_wild_challenge	2.3	15319280
DB19_adult_wild_challenge	1.78	11850650
DB19_adult_wild_challenge	2.41	16089052
DB19_adult_wild_challenge	2.01	13410618
DB19_adult_wild_challenge	2.61	17395234
DB19_adult_wild_challenge	2.38	15852530
DB19_adult_wild_challenge	1.9	12659588
DB19_adult_wild_challenge	2.65	17680614
DB19_adult_wild_challenge	1.52	10139166
DB19_adult_wild_challenge	1.38	9174408
DB19_adult_wild_challenge	1.26	8422612
DB19_adult_wild_challenge	2.55	16986492
DB19_adult_wild_challenge	1.46	9716250
DB19_adult_wild_challenge	1.91	12709448
DB19_adult_wild_challenge	1.65	11002252
DB19_adult_wild_challenge	1.55	10354988
DB19_adult_wild_challenge	3.2	21327602
DB19_adult_wild_challenge	2.11	14097736
DB19_adult_wild_challenge	2.65	17662712
DB19_adult_wild_challenge	3.25	21687826
DB19_adult_wild_challenge	2.44	16250204
DB19_adult_wild_challenge	1.52	10135060
DB19_adult_wild_challenge	1.75	11665864
DB19_adult_wild_challenge	2.12	14129770
DB19_adult_wild_challenge	2.99	19934218
DB19_adult_wild_challenge	1.62	10788682
DB19_adult_wild_challenge	2.02	13455026
DB19_adult_wild_challenge	2.91	19406602
DB19_adult_wild_challenge	1.42	9492088
DB19_adult_wild_challenge	1.9	12665500
DB19_adult_wild_challenge	1.44	9577618
DB19_adult_wild_challenge	1.68	11212356
DB19_adult_wild_challenge	1.78	11844622
DB19_adult_wild_challenge	1.75	11670440
DB19_adult_wild_challenge	2.29	15252064
DB19_adult_wild_challenge	1.53	10208444
DB19_adult_wild_challenge	1.27	8458262
DB19_adult_wild_challenge	2.2	14662094
DB19_adult_wild_challenge	1.51	10040670
DB19_adult_wild_challenge	2.19	14579438
DB19_adult_wild_challenge	1.67	11141240
DB19_adult_wild_challenge	1.28	8512334
DB19_adult_wild_challenge	1.32	8818364
DB19_adult_wild_challenge	1.43	9548058
DB19_adult_wild_challenge	1.42	9445046
DB19_adult_wild_challenge	1.72	11476794
DB19_adult_wild_challenge	2.21	14741322
DB19_adult_wild_challenge	1.62	10778782
DB19_adult_wild_challenge	1.95	13017064
DB19_adult_wild_challenge	1.4	9331392
DB19_adult_wild_challenge	1.5	9976950
DB19_adult_wild_challenge	1.5	10016946
DB19_adult_wild_challenge	1.42	9459766
DB19_adult_wild_challenge	1.59	10578712
DB19_adult_wild_challenge	1.77	11827890
DB19_adult_wild_challenge	1.39	9241392
DB19_adult_wild_challenge	1.62	10767714
DB19_adult_wild_challenge	1.65	11009488
DB19_adult_wild_challenge	1.32	8775272
DB19_adult_wild_challenge	1.8	12024582
DB19_adult_wild_challenge	0.97	6434786
DB19_adult_wild_challenge	1.29	8595566
DB19_adult_wild_challenge	1.4	9316568
DB19_adult_wild_challenge	1.43	9535746
DB19_adult_wild_challenge	1.94	12900088
DB19_adult_wild_challenge	1.49	9949526
DB19_adult_wild_challenge	1.41	9380816
DB19_adult_wild_challenge	1.5	10022000
DB19_adult_wild_challenge	1.49	9936930
DB19_adult_wild_challenge	1.52	10106932
DB19_adult_wild_challenge	1.31	8700838
DB19_adult_wild_challenge	1.79	11909676
DB19_adult_wild_challenge	2.34	15597054
DB19_adult_wild_challenge	1.25	8328904
DB19_adult_wild_challenge	1.59	10629772
DB19_adult_wild_challenge	1.44	9585118
DB19_adult_wild_challenge	1.45	9637330
DB19_adult_wild_challenge	1.54	10269830
DB19_adult_wild_challenge	1.69	11282668
DB19_adult_wild_challenge	1.93	12892902
DB19_adult_wild_challenge	1.57	10468848
DB19_adult_wild_challenge	1.39	9283818
DB19_adult_wild_challenge	1.67	11162642
DB19_adult_wild_challenge	2.3	15347840
DB19_adult_wild_challenge	1.44	9577252
DB19_adult_wild_challenge	2.67	17773308
DB19_adult_wild_challenge	2.29	15254980
DB19_adult_wild_challenge	0.85	5641630
DB19_adult_wild_challenge	1.49	9926854
DB19_adult_wild_challenge	1.87	12433888
DB19_adult_wild_challenge	1.91	12748950
DB19_adult_wild_challenge	1.68	11193598
DB19_adult_wild_challenge	1.77	11819238
DB19_adult_wild_challenge	0.43	2840846
DB19_adult_wild_challenge	1.07	7155714
DB19_adult_wild_challenge	0.96	6387116
DB19_adult_wild_challenge	0.48	3223540
DB19_adult_wild_challenge	0.7	4686226
DB19_adult_wild_challenge	1.69	11284458
DB19_adult_wild_challenge	1.91	12762318
DB19_adult_wild_challenge	1.53	10188398
DB19_adult_wild_challenge	2.15	14365260
DB19_adult_wild_challenge	1.93	12884186
DB19_adult_wild_challenge	1.83	12201064
DB19_adult_wild_challenge	2.34	15582168
DB19_adult_wild_challenge	1.81	12066232
DB19_adult_wild_challenge	1.34	8910470
DB19_adult_wild_challenge	1.46	9718504
DB19_adult_wild_challenge	2.1	14000124
DB19_adult_wild_challenge	2.36	15766408
DB19_adult_wild_challenge	1.57	10498270
DB19_adult_wild_challenge	1.63	10848786
DB19_adult_wild_challenge	1.53	10213140
DB19_adult_wild_challenge	1.49	9938862
DB19_adult_wild_challenge	0.6	4019026
DB19_adult_wild_challenge	1.46	9746306
DB19_adult_wild_challenge	0.17	1160210
DB19_adult_wild_challenge	0.43	2893414
DB19_adult_wild_challenge	0.21	1388068
DB19_adult_wild_challenge	0.3	2002594
DB19_adult_wild_challenge	0.24	1600000
DB19_adult_wild_challenge	1.71	11425128
DB19_adult_wild_challenge	2.33	15509192
DB19_adult_wild_challenge	1.59	10617248
DB19_adult_wild_challenge	3.4	22684652
DB19_adult_wild_challenge	0.25	1693874
DB19_adult_wild_challenge	1.94	12962308
DB19_adult_wild_challenge	0.28	1886908
DB19_adult_wild_challenge	3.12	20815278
DB19_adult_wild_challenge	1.71	11389376
DB19_adult_wild_challenge	2.3	15345798
DB19_adult_wild_challenge	1.09	7249348
DB20_adult_challenge	3.27	21778674
DB20_adult_challenge	6.74	44943634
DB20_adult_challenge	4.84	32255274
DB20_adult_challenge	4.55	30301308
DB20_adult_challenge	6.11	40730210
DB20_adult_challenge	5.27	35156530
DB20_adult_challenge	4.02	26771414
DB20_adult_challenge	3.76	25070650
DB20_adult_challenge	4.46	29704852
DB20_adult_challenge	7.29	48598626
DB20_adult_challenge	9.91	66099684
DB20_adult_challenge	6.4	42639808
DB20_adult_challenge	3.31	22082254
DB20_adult_challenge	1.32	8821162
DB20_adult_challenge	3.39	22586598
DB20_adult_challenge	6.19	41278958
DB20_adult_challenge	3.45	22974676
DB20_adult_challenge	5.46	36407754
DB20_adult_challenge	5.34	35577386
DB20_adult_challenge	6.71	44731412
DB20_adult_challenge	8.85	58982710
DB20_adult_challenge	5.65	37660952
DB20_adult_challenge	5.88	39207846
DB20_adult_challenge	5.47	36437476
DB20_adult_challenge	3.2	21347800
DB20_adult_challenge	4.56	30383534
DB20_adult_challenge	6.87	45821980
DB20_adult_challenge	4.92	32823858
DB20_adult_challenge	5.33	35551498
DB20_adult_challenge	11.84	78900780
DB20_adult_challenge	5.76	38409298
DB20_adult_challenge	2.27	15165356
DB20_adult_challenge	2.46	16417896
DB20_adult_challenge	1.41	9391840
DB20_adult_challenge	5.05	33639648
DB20_adult_challenge	4.83	32180096
DB20_adult_challenge	2.03	13517702
DB20_adult_challenge	6.98	46516832
DB20_adult_challenge	0.91	6057896
DB20_adult_challenge	6.99	46574630
DB20_adult_challenge	2.29	15248358
DB20_adult_challenge	9.45	62984446
DB20_adult_challenge	5.89	39268742
DB20_adult_challenge	6.44	42930848
DB20_adult_challenge	4.63	30859314
DB20_adult_challenge	6.72	44810906
DB20_adult_challenge	7.23	48184490
DB20_adult_challenge	6.2	41356088
DB20_adult_challenge	5.31	35393070
DB20_adult_challenge	7.41	49405122
DB20_adult_challenge	9.13	60838488
DB20_adult_challenge	5.08	33867860
DB20_adult_challenge	6.11	40726068
DB20_adult_challenge	6.01	40091290
DB20_adult_challenge	4.3	28654150
DB20_adult_challenge	4.32	28803528
DB20_adult_challenge	5.16	34393890
DB20_adult_challenge	6.25	41680914
DB20_adult_challenge	5.19	34582150
DB20_adult_challenge	5.63	37529526
DB20_adult_challenge	5.98	39842170
DB20_adult_challenge	4.51	30045582
DB20_adult_challenge	5.74	38286472
DB20_adult_challenge	6.93	46177266
DB20_adult_challenge	9.01	60097588
DB20_adult_challenge	5.6	37322064
DB20_adult_challenge	5.34	35602346
DB20_adult_challenge	5.7	37994796
DB20_adult_challenge	5.59	37269580
DB20_adult_challenge	5.92	39433534
DB20_adult_challenge	7.85	52319106
DB20_adult_challenge	6.09	40602602
DB20_adult_challenge	5.73	38220738
DB20_adult_challenge	7	46676796
DB20_adult_challenge	4.53	30199850
DB20_adult_challenge	6.06	40427518
DB20_adult_challenge	4.05	27007134
DB20_adult_challenge	6.64	44240070
DB20_adult_challenge	5.64	37601796
DB20_adult_challenge	9.28	61836946
DB20_adult_challenge	4.71	31432354
DB20_adult_challenge	4.32	28783876
DB20_adult_challenge	4.07	27133184
DB20_adult_challenge	5.01	33401348
DB20_adult_challenge	4.75	31680194
DB20_adult_challenge	5	33319682
DB20_adult_challenge	5.98	39875502
DB20_adult_challenge	2.25	15000806
DB20_adult_challenge	4.45	29692702
DB20_adult_challenge	4.82	32131792
DB20_adult_challenge	6.33	42231862
DB20_adult_challenge	4.04	26957010
DB20_adult_challenge	4.3	28661858
DB20_adult_challenge	6.66	44397076
DB20_adult_challenge	1.36	9094428
DB20_adult_challenge	6.81	45432080
DB20_adult_challenge	2.87	19129312
DB20_adult_challenge	8.46	56395052
DB20_adult_challenge	6.29	41909668
DB20_adult_challenge	4	26647164
DB20_adult_challenge	4.6	30513010
DB20_adult_challenge	2.4	15944536
DB20_adult_challenge	3	20237042
DB20_adult_challenge	3.3	21896126
DB20_adult_challenge	3	19819888
DB20_adult_challenge	2.3	15162160
DB20_adult_challenge	2.1	14176684
