prefix	lane_number	seq_id	sample_id	population	data_type
SR0719ch_008_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_008	CHR	pe
SR0719ch_016_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_016	CHR	pe
SR0719ch_017_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_017	CHR	pe
SR0719ch_019_CHR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0719ch_019	CHR	pe
SR0719ch_022_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_022	CHR	pe
SR0719ch_028_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_028	CHR	pe
SR0719ch_029_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_029	CHR	pe
SR0719ch_044_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_044	CHR	pe
SR0719ch_064_CHR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0719ch_064	CHR	pe
SR0719ch_066_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_066	CHR	pe
SR0719ch_074_CHR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0719ch_074	CHR	pe
SR0719ch_083_CHR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0719ch_083	CHR	pe
